uuid,document_id,timestamp,platform,geo_location,traffic_source
1ffa7a51d5002d,42744,35494104,1,US>NJ>501,1
5e77775aa023db,42744,23932678,1,US>NC>560,1
34378ab2b65fea,42744,45100535,1,US>NC>560,1
9af3d3202e341a,42744,27077475,2,US>NC>560,1
89aa70fa210301,42744,71117937,1,US>NC>560,1
474e7ca08ded9c,42744,81593132,1,US>NC>560,1
b571e41c4443c4,42744,18100522,1,US>NC>560,1
7a626ae6202c26,42744,74034491,3,US>NC>560,1
e2f5abe74f7c9d,42744,63934088,2,US>NC>560,1
c94423bb04dd69,42744,83493508,2,US>NC>560,1
7884bac8f48f13,42744,51703618,1,US>NC>560,1
5e84f2087b1f36,42744,59255163,1,US>NC>560,1
afac2acf93a896,42744,29387628,1,US>NC,1
cb58b83256e8a9,42744,27555259,2,US>NC>517,1
8dd358758aa006,42744,19015067,2,US>NC>560,1
1dfdaff293e494,42744,6904756,2,CZ>88,1
6efb6c3ceb12b2,42744,45236623,1,US>NC,1
8827ed95d72c52,42744,33046582,1,US>NC>560,1
c314f02f0a7ebe,42744,68320717,2,US,1
6046381f9c1d9d,42744,33708215,1,US>NC>560,1
83f676e6029f96,42744,45201472,1,US>NC>560,1
4fe42d811018da,42744,32459540,1,US>NC>560,1
32aedfada41fac,42744,57669889,1,US>NC>560,1
da2a145757dc88,42744,75768665,1,US>NC>560,1
fdf110dd0678ee,42744,31848050,1,US>VA>556,1
b2a4d753e51815,42744,72986897,2,US>NC>560,1
dad0cddb1e6570,42744,67716989,3,US>NC>560,1
99d877920954c7,42744,84979319,1,US>NC>560,1
b51fea393d3eb6,42744,82997121,2,US>NC>560,1
5971278f7e434d,42744,40583841,1,US>NC>560,1
9df226ce3631aa,42744,23544854,1,US>NC>560,1
53cbcb1203763c,42744,198655,2,US>NC>560,1
d48ad6c2e73571,42744,74262491,2,US>NC>560,1
a336386b49e456,42744,41660383,1,US>NC>560,1
e374e2d0531d75,42744,70902495,2,US>NC>560,1
425718dd0032b7,42744,55282161,1,US>NC>560,1
ac64e107a5a410,42744,49669241,1,US>NC>560,1
